location_id,population_served,sample_date,baseline_rate
California,100000,2020-03-28,0.3
California,100000,2020-03-28,3.6
California,100000,2020-03-28,4.0
California,100000,2020-03-28,0.1
California,100000,2020-04-04,0.1
California,100000,2020-04-04,3.7
California,100000,2020-04-04,3.9
California,100000,2020-04-04,0.1
California,100000,2020-04-11,0.1
California,100000,2020-04-11,4.0
California,100000,2020-04-11,4.1
California,100000,2020-04-11,0.0
California,100000,2020-04-18,0.0
California,100000,2020-04-18,3.6
California,100000,2020-04-18,3.7
California,100000,2020-04-18,0.1
California,100000,2020-04-25,0.0
California,100000,2020-04-25,2.2
California,100000,2020-04-25,2.2
California,100000,2020-04-25,0.0
California,100000,2020-05-02,0.0
California,100000,2020-05-02,2.5
California,100000,2020-05-02,2.5
California,100000,2020-05-02,0.0
California,100000,2020-05-09,2.4
California,100000,2020-05-09,2.4
California,100000,2020-05-16,2.1
California,100000,2020-05-16,2.1
California,100000,2020-05-23,2.2
California,100000,2020-05-23,2.2
California,100000,2020-05-30,2.5
California,100000,2020-05-30,2.5
California,100000,2020-06-06,2.8
California,100000,2020-06-06,2.8
California,100000,2020-06-13,2.3
California,100000,2020-06-13,2.3
California,100000,2020-06-20,2.8
California,100000,2020-06-20,2.8
California,100000,2020-06-27,3.9
California,100000,2020-06-27,3.9
California,100000,2020-07-04,5.7
California,100000,2020-07-04,5.7
California,100000,2020-07-11,6.3
California,100000,2020-07-11,6.3
California,100000,2020-07-18,7.3
California,100000,2020-07-18,7.3
California,100000,2020-07-25,8.1
California,100000,2020-07-25,8.1
California,100000,2020-08-01,7.8
California,100000,2020-08-01,7.8
California,100000,2020-08-08,6.3
California,100000,2020-08-08,6.3
California,100000,2020-08-15,7.1
California,100000,2020-08-15,7.1
California,100000,2020-08-22,6.8
California,100000,2020-08-22,6.8
California,100000,2020-08-29,6.4
California,100000,2020-08-29,6.4
California,100000,2020-09-05,5.1
California,100000,2020-09-05,5.1
California,100000,2020-09-12,4.8
California,100000,2020-09-12,4.8
California,100000,2020-09-19,3.9
California,100000,2020-09-19,3.9
California,100000,2020-09-26,2.7
California,100000,2020-09-26,2.7
California,100000,2020-10-03,0.0
California,100000,2020-10-03,2.9
California,100000,2020-10-03,2.9
California,100000,2020-10-10,0.0
California,100000,2020-10-10,2.3
California,100000,2020-10-10,2.3
California,100000,2020-10-17,0.0
California,100000,2020-10-17,2.3
California,100000,2020-10-17,2.3
California,100000,2020-10-24,0.0
California,100000,2020-10-24,2.3
California,100000,2020-10-24,2.3
California,100000,2020-10-31,0.0
California,100000,2020-10-31,3.3
California,100000,2020-10-31,3.3
California,100000,2020-11-07,0.0
California,100000,2020-11-07,3.5
California,100000,2020-11-07,3.5
California,100000,2020-11-14,0.0
California,100000,2020-11-14,4.0
